fact_id,budget_id,budget_version,project_id,container_id,container_level,container_code,container_name,parent_container_id,category_id,cost_code,scope,category_path,category_depth,category_source,uom_code,uom_display,qty,rate,amount,calculated_amount,start_date,end_date,escalation_rate,contingency_pct,timing_method,contract_number,purchase_order,is_committed,confidence_level,vendor_contact_id,vendor_name,notes,created_at
275,10,Peoria Meadows Base Budget,9,629,2,PHASE-22,1.2,624,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,21405.000000,1500.000000,32107500.00,32107500.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
276,10,Peoria Meadows Base Budget,9,635,2,PHASE-28,4.2,627,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,21350.000000,1500.000000,32025000.00,32025000.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
277,10,Peoria Meadows Base Budget,9,628,2,PHASE-21,1.1,624,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,16405.000000,1500.000000,24607500.00,24607500.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
278,10,Peoria Meadows Base Budget,9,634,2,PHASE-27,4.1,627,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,13445.000000,1500.000000,20167500.00,20167500.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
279,10,Peoria Meadows Base Budget,9,630,2,PHASE-23,2.1,625,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,28775.000000,1500.000000,43162500.00,43162500.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
280,10,Peoria Meadows Base Budget,9,631,2,PHASE-24,2.2,625,44,,,Onsite Improvements,1,unit_cost_category,$/FF,Dollars per Front Foot,9725.000000,1500.000000,14587500.00,14587500.00,,,,,,,,f,,,,Onsite Improvements,2025-11-19 17:50:49.939073+00
281,10,Peoria Meadows Base Budget,9,629,2,PHASE-22,1.2,624,,,,,,,$$$,Currency amount,1.000000,3582400.000000,3582400.00,3582400.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
282,10,Peoria Meadows Base Budget,9,635,2,PHASE-28,4.2,627,,,,,,,$$$,Currency amount,1.000000,3473400.000000,3473400.00,3473400.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
283,10,Peoria Meadows Base Budget,9,628,2,PHASE-21,1.1,624,,,,,,,$$$,Currency amount,1.000000,2689400.000000,2689400.00,2689400.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
284,10,Peoria Meadows Base Budget,9,634,2,PHASE-27,4.1,627,,,,,,,$$$,Currency amount,1.000000,2203400.000000,2203400.00,2203400.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
285,10,Peoria Meadows Base Budget,9,630,2,PHASE-23,2.1,625,,,,,,,$$$,Currency amount,1.000000,4918000.000000,4918000.00,4918000.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
286,10,Peoria Meadows Base Budget,9,631,2,PHASE-24,2.2,625,,,,,,,$$$,Currency amount,1.000000,1593400.000000,1593400.00,1593400.00,,,,,,,,f,,,,Contingency,2025-11-19 17:50:49.939073+00
