field_key,base_field_key,is_disambiguated,canonical_field_key,canonical_note,alias_note,ui_section,ui_label,entity,data_type,unit_format,required,user_editable,derived,schema.table,column
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Property > MF Property Details,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Valuation > Cost Approach,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Property > Rent Roll,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Property > Floor Plan Matrix,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Operations > Turns,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Valuation > AI Suggestions,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Project > Profile,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type__updated_at,updated_at,True,unit_type__updated_at,,,Valuation > Reconciliation,,unit_type,datetime,,False,False,False,tbl_multifamily_unit_type,updated_at
unit_type_code,unit_type_code,False,unit_type_code,,,Property > Floor Plan Matrix,,unit_type,string,,conditional,conditional,False,tbl_multifamily_unit_type,unit_type_code
unit_type_id,unit_type_id,False,unit_type_id,,,Property > Floor Plan Matrix,,unit_type,integer,,conditional,conditional,False,tbl_multifamily_unit_type,unit_type_id
units,units,False,units,,,Valuation > Sales Comparables,,sales_comparable,integer,units,conditional,conditional,False,tbl_sales_comparables,units
user_adjustment_pct,user_adjustment_pct,False,user_adjustment_pct,,,Valuation > Adjustments,,sales_comp_adjustment,percent,,conditional,conditional,False,tbl_sales_comp_adjustments,user_adjustment_pct
user_notes,user_notes,False,user_notes,,,Valuation > Adjustments,,sales_comp_adjustment,string,,conditional,conditional,False,tbl_sales_comp_adjustments,user_notes
uses_global_taxonomy,uses_global_taxonomy,False,uses_global_taxonomy,,,Project > Profile,,project,boolean,,conditional,conditional,False,tbl_project,uses_global_taxonomy
utilities_combined,utilities_combined,False,utilities_combined,,,Operations > Operating Expenses,Utilities,operating_expense,decimal,,True,True,False,tbl_operating_expenses,annual_amount
utilities_electric,utilities_electric,False,utilities_electric,,,,,project,string,,conditional,conditional,False,tbl_project,utilities_electric
utilities_gas,utilities_gas,False,utilities_gas,,,,,project,string,,conditional,conditional,False,tbl_project,utilities_gas
utilities_total,utilities_total,False,utilities_total,,,,,project,string,,conditional,conditional,False,tbl_project,utilities_total
utilities_trash,utilities_trash,False,utilities_trash,,,,,project,string,,conditional,conditional,False,tbl_project,utilities_trash
utilities_water_sewer,utilities_water_sewer,False,utilities_water_sewer,,,,,project,string,,conditional,conditional,False,tbl_project,utilities_water_sewer
utility_recovery_method,utility_recovery_method,False,utility_recovery_method,,,Property > MF Property Details,,property,string,,conditional,conditional,False,tbl_multifamily_property,utility_recovery_method
utility_reimbursement,utility_reimbursement,False,utility_reimbursement,,,,,project,string,,conditional,conditional,False,tbl_project,utility_reimbursement
valuation_date,valuation_date,False,valuation_date,,,Valuation > Reconciliation,,valuation_reconciliation,date,,conditional,conditional,False,tbl_valuation_reconciliation,valuation_date
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Cap Rate Comps,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Sales Comparables,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Operations > Operating Expenses,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Income Approach,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Property > MF Property Details,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Cost Approach,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Reconciliation,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Property > Rent Roll,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Property > Floor Plan Matrix,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Operations > Turns,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > AI Suggestions,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Project > Profile,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__created_at,created_at,True,valuation_reconciliation__created_at,,,Valuation > Adjustments,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,created_at
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Valuation > Sales Comparables,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Operations > Operating Expenses,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Valuation > Income Approach,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Valuation > Cost Approach,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Property > MF Property Details,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Property > Rent Roll,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Property > Floor Plan Matrix,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Project > Profile,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__project_id,project_id,True,valuation_reconciliation__project_id,,,Valuation > Reconciliation,,valuation_reconciliation,integer,,conditional,conditional,False,tbl_valuation_reconciliation,project_id
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Operations > Operating Expenses,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Valuation > Sales Comparables,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Valuation > Income Approach,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Property > MF Property Details,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Valuation > Cost Approach,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Property > Rent Roll,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Property > Floor Plan Matrix,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Operations > Turns,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Valuation > AI Suggestions,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Project > Profile,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
valuation_reconciliation__updated_at,updated_at,True,valuation_reconciliation__updated_at,,,Valuation > Reconciliation,,valuation_reconciliation,datetime,,False,False,False,tbl_valuation_reconciliation,updated_at
velocity_override_reason,velocity_override_reason,False,velocity_override_reason,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,velocity_override_reason
version_reference,version_reference,False,version_reference,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,version_reference
view_type,view_type,False,view_type,,,Property > Rent Roll,,unit,string,,conditional,conditional,False,tbl_multifamily_unit,view_type
water_metered_individually,water_metered_individually,False,water_metered_individually,,,Property > MF Property Details,,property,boolean,,conditional,conditional,False,tbl_multifamily_property,water_metered_individually
water_sewer,water_sewer,False,water_sewer,,,Operations > Operating Expenses,Water & Sewer,operating_expense,decimal,,True,True,False,tbl_operating_expenses,annual_amount
zip,zip,False,zip,,,Valuation > Sales Comparables,,sales_comparable,string,,conditional,conditional,False,tbl_sales_comparables,zip
zip_code,zip_code,False,zip_code,,,Project > Profile,,project,string,,conditional,conditional,False,tbl_project,zip_code
