project_id,parcel_id,legal_amount,closing_cost_amount,title_insurance_amount,commission_amount,total_transaction_costs,net_sale_proceeds,gross_sale_proceeds
154,779,,,,91110.83,141110.83,2895916.68,3037027.50
154,780,,,,126714.13,176714.13,4047090.27,4223804.40
154,781,,,,126153.45,176153.45,4028961.55,4205115.00
154,782,,,,120546.63,170546.63,3847674.37,4018221.00
154,783,,,,244613.73,294613.73,7859177.23,8153790.96
154,784,,,,160163.75,210163.75,5128627.95,5338791.70
154,785,,,,131199.59,181199.59,4192120.01,4373319.60
154,786,,,,444276.63,494276.63,14314944.28,14809220.91
154,787,,,,268292.96,318292.96,8624805.64,8943098.60
154,789,,,,141786.96,191786.96,4534445.04,4726232.00
154,790,,,,103959.90,153959.90,3311370.10,3465330.00
154,793,,,,836352.00,886352.00,26992048.00,27878400.00
154,794,,,,444312.00,494312.00,14316088.00,14810400.00
154,795,,,,509652.00,559652.00,16428748.00,16988400.00
154,796,,,,588060.00,638060.00,18963940.00,19602000.00
154,797,,,,784080.00,834080.00,25301920.00,26136000.00
154,799,,,,117779.90,167779.90,3758216.90,3925996.80
155,801,,,,194459.52,244459.52,6237524.48,6481984.00
155,802,,,,149490.76,199490.76,4783534.44,4983025.20
155,803,,,,136729.35,186729.35,4370915.65,4557645.00
155,804,,,,339768.00,389768.00,10935832.00,11325600.00
155,805,,,,352836.00,402836.00,11358364.00,11761200.00
155,806,,,,100795.97,150795.97,3209069.63,3359865.60
155,807,,,,112364.74,162364.74,3583126.46,3745491.20
155,808,,,,51773.72,101773.72,1624016.79,1725790.50
155,809,,,,81523.06,131523.06,2585912.14,2717435.20
155,810,,,,268541.48,318541.48,8632841.12,8951382.60
155,811,,,,120490.02,170490.02,3845843.98,4016334.00
155,812,,,,123932.59,173932.59,3957153.81,4131086.40
155,813,,,,163694.64,213694.64,5242793.41,5456488.05
155,814,,,,62128.46,112128.46,1958820.14,2070948.60
155,815,,,,71332.67,121332.67,2256423.13,2377755.80
155,817,,,,84152.83,134152.83,2670941.57,2805094.40
155,818,,,,235224.00,285224.00,7555576.00,7840800.00
155,819,,,,128641.53,178641.53,4109409.37,4288050.90
155,820,,,,108772.31,158772.31,3466971.29,3625743.60
155,821,,,,102184.29,152184.29,3253958.86,3406143.15
155,822,,,,91110.83,141110.83,2895916.68,3037027.50
155,823,,,,126714.13,176714.13,4047090.27,4223804.40
155,824,,,,126153.45,176153.45,4028961.55,4205115.00
155,825,,,,120546.63,170546.63,3847674.37,4018221.00
155,826,,,,244613.73,294613.73,7859177.23,8153790.96
155,827,,,,160163.75,210163.75,5128627.95,5338791.70
155,828,,,,131199.59,181199.59,4192120.01,4373319.60
155,829,,,,444276.63,494276.63,14314944.28,14809220.91
155,830,,,,268292.96,318292.96,8624805.64,8943098.60
155,832,,,,141786.96,191786.96,4534445.04,4726232.00
155,833,,,,103959.90,153959.90,3311370.10,3465330.00
155,836,,,,836352.00,886352.00,26992048.00,27878400.00
155,837,,,,444312.00,494312.00,14316088.00,14810400.00
155,838,,,,509652.00,559652.00,16428748.00,16988400.00
155,839,,,,588060.00,638060.00,18963940.00,19602000.00
155,840,,,,784080.00,834080.00,25301920.00,26136000.00
155,842,,,,117779.90,167779.90,3758216.90,3925996.80
156,844,,,,194459.52,244459.52,6237524.48,6481984.00
156,845,,,,149490.76,199490.76,4783534.44,4983025.20
156,846,,,,136729.35,186729.35,4370915.65,4557645.00
156,847,,,,339768.00,389768.00,10935832.00,11325600.00
156,848,,,,352836.00,402836.00,11358364.00,11761200.00
156,849,,,,100795.97,150795.97,3209069.63,3359865.60
156,850,,,,112364.74,162364.74,3583126.46,3745491.20
